# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Throughput/GPU (tok/s),Output Throughput/GPU (tok/s),Input Throughput/GPU (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Std TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Std TPOT (ms),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (ms),Median ITL (ms),P99 ITL (ms),Std ITL (ms),Mean E2E Latency (ms),Median E2E Latency (ms),P99 E2E Latency (ms),Std E2E Latency (ms),Disaggregated,Num Prefill GPUs,Num Decode GPUs,Spec Decoding,EP,DP Attention,Is Multinode
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,8,4,2026-06-05,260.6199555620595,129.67588745445929,130.9440681076002,0.04011935685994104,0.03444316308014095,0.11022332073189316,0.018862507509696626,0.0036954017349367417,0.003700594480375059,0.003797496696076653,0.000044778387866632994,270.60657317603335,270.226852821401,263.3313680122857,22332.20193139554,0.0036960180025044967,0.0036575288977473974,0.004152824669145048,0.0012053541888680111,3.427704488183372,3.458290316630155,3.8262186435610057,0.23209287720502825,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,8,8,2026-06-05,475.23180571798787,238.49671641894605,236.73508929904182,0.046149631368461994,0.03577715205028653,0.15358377815224228,0.033025452727460845,0.004030414044551097,0.0040126936388707336,0.004185618510100164,0.000058366030135355084,248.1134664940805,249.20915723868308,238.91331653540246,17133.253669658996,0.004030872441719271,0.003943825606256723,0.005011802818626166,0.0018228442478305437,3.787101399595849,3.795709401834756,4.247651475789025,0.2563244230952737,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,8,16,2026-06-05,820.7025361464997,408.1786678065085,412.5238683399912,0.04498829132062383,0.03375385398976505,0.20213747610803692,0.03868147259250019,0.004707677170398482,0.004727758169891039,0.0048063091045986595,0.00008407007826346014,212.41898367371584,211.5167409298871,208.0598601207741,11894.838456866713,0.004709158236017839,0.004543202929198742,0.015974473231472074,0.0018210339291456173,4.353367609565612,4.370866121375002,4.907081760044675,0.3137374504370366,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,8,32,2026-06-05,1358.0349991210514,680.0931558115767,677.9418433094747,0.07343951394141186,0.03901934716850519,0.44224402653984723,0.09974655754000072,0.0056243503720894575,0.005645375273306968,0.0058164395747715685,0.00014421404151399825,177.79831159922884,177.13614269866179,171.9264830563074,6934.137546536578,0.005626114396179133,0.005281463265419006,0.018181150406599046,0.0024691458137977417,5.2646023305831475,5.267371276859194,6.056568573610857,0.38225847253034717,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,8,64,2026-06-05,2162.2839179140947,1080.8982827282748,1081.3856351858199,0.09853513020498213,0.045806769747287035,0.7588117933459582,0.15398455825432392,0.0070839667096708,0.0071601499945284485,0.007374542283898012,0.00026262719376573873,141.16384802244096,139.66187869865396,135.60163621048804,3807.678807595194,0.007087372161138649,0.0064128367230296135,0.01952928025275469,0.0035574542202626417,6.624686935114733,6.638833439908922,7.6690162922162575,0.5206886579030308,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,2,4,2026-06-05,791.9716282271216,394.0589411414046,397.91268708571704,0.06639956175349652,0.0566006856970489,0.1392356979008764,0.027171402316615027,0.004864806561622054,0.004899876302362561,0.004985558383484148,0.0001098753546502902,205.55801907703682,204.08678470471438,200.57933797601058,9101.222045496796,0.004864930231653967,0.0047858357429504395,0.005331432707607746,0.002052830972737822,4.526202545547858,4.582412004470825,5.050100669031963,0.3189166995310936,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,2,8,2026-06-05,1287.8249617017086,646.299386936397,641.5255747653116,0.07384968311525882,0.05624197470024228,0.2579075482208282,0.0495722043908159,0.005996866019709185,0.005997844288270926,0.006416291187473061,0.00019973986535623694,166.75376716995495,166.72656907008212,155.85327579152963,5006.5118358645905,0.005997089059432416,0.005783941596746445,0.006506869848817592,0.0029198254833619174,5.63959795688279,5.638836806640029,6.463332108156756,0.40952655271144994,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,2,16,2026-06-05,1958.4567962489612,974.043884161711,984.4129120872501,0.09612944034743123,0.0630423673428595,0.47299336045980456,0.09868050421036609,0.007931018937069453,0.007957580835413836,0.008330622810853833,0.0003017562243737205,126.08720366635569,125.6663326057177,120.0390442233342,3313.9332985606134,0.00793485175800645,0.007520850747823715,0.03824113275855778,0.004276485307238543,7.355675572832115,7.3349161222577095,8.508023862568661,0.5972019852933351,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,2,32,2026-06-05,2902.9213557134362,1453.7599893653344,1449.1613663481019,0.13161446746380534,0.07174424361437559,0.8765644043311477,0.1731991498671207,0.010617970755656186,0.010733340774037842,0.011203734190342946,0.0005010977931864815,94.17995425042028,93.16763727644174,89.2559554708063,1995.6184473314056,0.01062128637027527,0.009699762798845768,0.04223004076629878,0.005910226992700703,9.93177568797837,9.931799157056957,11.334411324132233,0.7967801770388392,false,,,none,1,false,false
gpt-oss-120b,1024,1024,h200,h200_vllm,vllm,fp4,2,64,2026-06-05,4259.7606562715255,2129.4002790526642,2130.3603772188612,0.19453692254028282,0.06965424492955208,1.7463792655616999,0.361741011692785,0.014504823182893834,0.01469578763795579,0.01532149812628916,0.0007018361592737688,68.94258464173099,68.04671002575141,65.26776897124473,1424.833968421859,0.014512549633534782,0.012759572826325893,0.04454294443130495,0.008225916792932744,13.55789659051079,13.600264886859804,15.729179654074834,1.1386805374277715,false,,,none,1,false,false
